date,area,town,daily_cases,avg_cases,std_daily_cases,std_avg_cases
2020/6/27,North,Qiryat Shemona,15,4.285714286,67.07507937,19.16430839
2020/6/28,North,Qiryat Shemona,0,4.285714286,0,19.16430839
2020/6/29,North,Qiryat Shemona,0,4.285714286,0,19.16430839
2020/6/30,North,Qiryat Shemona,0,4.285714286,0,19.16430839
2020/7/1,North,Qiryat Shemona,0,4.285714286,0,19.16430839
2020/7/2,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/7/3,North,Qiryat Shemona,15,4.285714286,67.07507937,19.16430839
2020/7/4,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/7/5,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/7/6,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/7/7,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/7/8,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/7/9,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/7/10,North,Qiryat Shemona,1,0.142857143,4.471671958,0.63881028
2020/7/11,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/7/12,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/7/13,North,Qiryat Shemona,3,0.571428571,13.41501587,2.555241117
2020/7/14,North,Qiryat Shemona,0,0.571428571,0,2.555241117
2020/7/15,North,Qiryat Shemona,1,0.714285714,4.471671958,3.194051397
2020/7/16,North,Qiryat Shemona,2,1,8.943343916,4.471671958
2020/7/17,North,Qiryat Shemona,0,0.857142857,0,3.832861678
2020/7/18,North,Qiryat Shemona,1,1,4.471671958,4.471671958
2020/7/19,North,Qiryat Shemona,0,1,0,4.471671958
2020/7/20,North,Qiryat Shemona,2,0.857142857,8.943343916,3.832861678
2020/7/21,North,Qiryat Shemona,1,1,4.471671958,4.471671958
2020/7/22,North,Qiryat Shemona,0,0.857142857,0,3.832861678
2020/7/23,North,Qiryat Shemona,0,0.571428571,0,2.555241117
2020/7/24,North,Qiryat Shemona,0,0.571428571,0,2.555241117
2020/7/25,North,Qiryat Shemona,0,0.428571429,0,1.916430841
2020/7/26,North,Qiryat Shemona,0,0.428571429,0,1.916430841
2020/7/27,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/7/28,North,Qiryat Shemona,0,0,0,0
2020/7/29,North,Qiryat Shemona,0,0,0,0
2020/7/30,North,Qiryat Shemona,0,0,0,0
2020/7/31,North,Qiryat Shemona,0,0,0,0
2020/8/1,North,Qiryat Shemona,0,0,0,0
2020/8/2,North,Qiryat Shemona,0,0,0,0
2020/8/3,North,Qiryat Shemona,0,0,0,0
2020/8/4,North,Qiryat Shemona,1,0.142857143,4.471671958,0.63881028
2020/8/5,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/8/6,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/8/7,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/8/8,North,Qiryat Shemona,1,0.285714286,4.471671958,1.277620561
2020/8/9,North,Qiryat Shemona,0,0.285714286,0,1.277620561
2020/8/10,North,Qiryat Shemona,0,0.285714286,0,1.277620561
